eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
1763502,2001,01,16,14,07,49.29,101.564,-4.3355,23.1,5.1336,0
8494732,2006,05,12,08,16,57.36,105.3256,-5.633,23.1,5.53788,0
611829777,2016,05,14,20,52,13.18,101.8278,-6.9224,23.1,5.63895,0
15860736,2009,12,17,17,27,20.10,109.11,-7.37,23,2,0
618629348,2019,02,11,06,25,10   ,107.65,-7.24,23,2.2,0
621852409,2020,09,21,21,11,48.10,106.63,-6.95,23,2.2,0
15881469,2010,05,09,19,22,33.50,106.77,-6.85,23,2.3,0
618622320,2018,04,06,00,15,28.90,107.93,-7.89,23,2.3,0
618629073,2019,02,02,18,48,53.10,100.03,-2.79,23,2.3,0
280163,1992,07,02,21,20,53.30,106.3,-7.7,23,2.3,0
280768,1992,07,06,20,23,10.30,106.9,-7.9,23,2.3,0
608078230,2014,08,31,18,32,58.10,103.95,-5.63,23,2.4,0
618625935,2018,08,25,16,41,42.80,107.4,-7.7,23,2.4,0
611815612,2016,02,14,23,01,52.80,107.3,-7.17,23,2.5,0
618629146,2019,02,03,02,58,56.90,100.08,-2.76,23,2.5,0
618634479,2019,10,26,19,28,30.60,104.03,-5.99,23,2.5,0
618623201,2018,06,19,17,36,00.30,107.4,-8.07,23,2.6,0
618629086,2019,02,02,16,16,12.80,100.08,-2.89,23,2.6,0
618629085,2019,02,02,16,31,10.80,100.03,-2.95,23,2.6,0
618629083,2019,02,02,17,16,45   ,100,-2.9,23,2.6,0
621852442,2020,09,22,23,28,49.20,106.81,-7.79,23,2.7,0
15880670,2010,03,24,07,48,19.30,108.55,-8.14,23,2.8,0
601988968,2011,01,07,20,12,21.20,107.23,-8.25,23,2.8,0
602010611,2011,12,09,21,59,05.40,107.3,-7.76,23,2.8,0
602028416,2012,08,15,14,52,01.40,103.06,-5,23,2.8,0
611530802,2015,07,11,21,28,26.10,106.89,-7.81,23,2.8,0
618629097,2019,02,02,13,47,25.50,100,-3.03,23,2.8,0
618629619,2019,02,25,13,37,10.30,107.12,-8.17,23,2.8,0
602004912,2011,07,27,19,10,38.50,103.97,-6.12,23,2.8,0
15880002,2010,01,24,13,17,12.30,107.9,-8.04,23,2.9,0
15880698,2010,03,26,18,28,30.50,102.13,-4.55,23,2.9,0
618623331,2018,06,26,05,50,01.30,107.1,-6.59,23,2.9,0
618623729,2018,07,22,21,03,36.90,107.36,-7.87,23,2.9,0
618629661,2019,02,28,21,45,03.40,102.05,-5.02,23,2.9,0
618633459,2019,09,14,11,14,14.10,103.59,-5.25,23,2.9,0
602004811,2011,07,21,07,59,14   ,107.66,-7.49,23,2.9,0
602007123,2011,10,10,18,11,32.30,106.16,-7.61,23,3,0
618620029,2018,01,23,07,18,38   ,106.18,-7.2,23,3,0
619642546,2018,09,11,22,54,20.70,107.35,-7.82,23,3,0
618629188,2019,02,04,03,35,24.30,100.02,-2.86,23,3,0
618629802,2019,03,08,12,31,40.10,106.04,-7.13,23,3,0
618629980,2019,03,17,04,42,22.10,107.66,-8.23,23,3,0
621852631,2020,09,27,15,43,33.10,101.24,-3.09,23,3,0
625086401,2021,01,05,10,09,16.60,106.22,-7.63,23,3,0
602004816,2011,07,21,22,46,46.80,107.79,-6.89,23,3,0
602006989,2011,10,07,03,32,19.90,107.78,-6.83,23,3.1,0
608081399,2014,01,07,00,45,00.20,107.16,-8.08,23,3.1,0
615352428,2017,10,21,15,48,10.60,104.47,-5.03,23,3.1,0
618629365,2019,02,12,18,39,34.90,100.05,-2.97,23,3.1,0
618629819,2019,03,09,07,00,13.60,105.96,-7.37,23,3.1,0
12922743,2008,10,05,20,54,06   ,105.38,-6.18,23,3.2,0
15867022,2009,12,18,15,26,07.40,107.93,-8.05,23,3.2,0
15880456,2010,03,06,23,20,33.90,103.09,-5.15,23,3.2,0
618622754,2018,05,06,01,41,11   ,106.61,-7.84,23,3.2,0
618627834,2018,12,23,08,48,32.80,106.66,-7.69,23,3.2,0
618629106,2019,02,02,12,27,00.40,100.07,-2.93,23,3.2,0
618633485,2019,09,16,15,06,01.70,106.1,-7.36,23,3.2,0
621872867,2020,05,29,10,25,56.80,106.02,-7.52,23,3.2,0
621852786,2020,10,04,06,25,18.10,107.07,-8.02,23,3.2,0
606612007,2014,12,30,01,45,26.69,105.2467,-6.7531,23,3.21327,0
15880815,2010,04,04,16,17,57.20,107.33,-8.11,23,3.3,0
15882738,2010,09,04,19,33,06.90,107.22,-8.17,23,3.3,0
602012283,2012,02,04,02,53,47.60,106.61,-5.64,23,3.3,0
602015210,2012,04,14,18,04,37   ,107.94,-8.04,23,3.3,0
602016055,2012,04,20,10,47,56.80,103.54,-5.66,23,3.3,0
601998065,2012,10,13,00,28,57.40,105.03,-6.69,23,3.3,0
606793343,2012,12,07,19,09,53.30,105.34,-6.86,23,3.3,0
611530539,2015,06,10,04,23,57.50,103.94,-6.55,23,3.3,0
618623039,2018,06,02,16,59,33.50,106.62,-7.82,23,3.3,0
618625855,2018,08,23,04,06,31.80,107.39,-7.72,23,3.3,0
